1000,757-868-1931,10002010,3
1001,831-828-9712,10011580,4
1002,465-792-1216,10020778,4
1003,298-632-6227,10034448,7
1004,675-819-8516,10047845,7
1005,265-430-1803,10056985,2
1006,313-614-5610,10061140,2
1007,350-229-5712,10076062,7
1008,876-574-3016,10082103,8
1009,648-948-5780,10090552,6
1010,812-632-4178,10108398,2
1011,403-332-7009,10116875,8
1012,301-633-7613,10122332,6
1013,892-268-7491,10132893,6
1014,117-419-6723,10149187,4
1015,471-291-5177,10159805,3
1016,779-492-2117,10164815,5
1017,670-265-7680,10171096,1
1018,272-357-1432,10182346,5
1019,225-249-7480,10195725,8
1020,534-429-2676,10207581,5
1021,291-648-8670,10218415,1
1022,303-826-2461,10226007,4
1023,476-694-6998,10235203,1
1024,992-868-6629,10245097,7
1025,989-448-2302,10252034,1
1026,484-810-6371,10263151,7
1027,465-189-6478,10273416,7
1028,296-405-5764,10286000,4
1029,233-876-2029,10290044,4
1030,672-273-7773,10304615,3
1031,441-240-5301,10311966,2
1032,534-840-7136,10320275,3
1033,863-557-1402,10331462,5
1034,125-585-2307,10342419,6
1035,177-348-7130,10350859,2
1036,683-454-1472,10366857,4
1037,173-239-4494,10377614,6
1038,204-665-6044,10388525,4
1039,756-177-8786,10399552,5
1040,520-963-8037,10403218,1
1041,740-836-9070,10418205,5
1042,223-438-6192,10427612,3
1043,452-906-7402,10436038,1
1044,280-201-9607,10443866,4
1045,802-184-9107,10455917,3
1046,171-718-8213,10462390,1
1047,999-664-1929,10473162,2
1048,748-653-4912,10488117,4
1049,133-447-5752,10499031,3
1050,990-956-4187,10508168,4
1051,617-406-3438,10515257,6
1052,420-367-9923,10524969,3
1053,441-305-9262,10539906,1
1054,161-522-2406,10540206,5
1055,217-464-9537,10559635,8
1056,574-360-6286,10566739,2
1057,339-537-7341,10572228,4
1058,855-510-6581,10585546,8
1059,429-672-7753,10599943,7
1060,803-973-1393,10605523,8
1061,653-841-2995,10610324,2
1062,264-818-8050,10629838,1
1063,585-861-8444,10637324,3
1064,874-642-7935,10641344,6
1065,154-571-3623,10654359,1
1066,530-881-8582,10663177,6
1067,358-836-7444,10679440,7
1068,451-323-9756,10685720,8
1069,271-154-4510,10696447,7
1070,376-346-6576,10702785,8
1071,601-862-3178,10713850,1
1072,690-288-9714,10728957,5
1073,850-270-4734,10739423,8
1074,676-845-9023,10743684,4
1075,585-297-7506,10755970,3
1076,818-779-3491,10762720,3
1077,997-483-1472,10772940,5
1078,747-755-9731,10789599,5
1079,450-471-5078,10796303,1
1080,588-337-9074,10803506,6
1081,244-424-8846,10814797,1
1082,635-716-9848,10821363,8
1083,382-765-7473,10831142,6
1084,918-170-7095,10843581,7
1085,534-679-3971,10855145,7
1086,557-611-3213,10860067,2
1087,485-353-9216,10877455,1
1088,764-588-8687,10886425,7
1089,353-364-4163,10899948,8
1090,667-954-9222,10909965,3
1091,879-738-8765,10915840,3
1092,547-262-2787,10929528,8
1093,253-910-9269,10935811,6
1094,637-483-2542,10949406,5
1095,741-334-1961,10958120,5
1096,658-145-4219,10969710,6
1097,286-494-6996,10977863,5
1098,185-680-8926,10982604,1
1099,344-292-3781,10994597,1
1100,248-728-8840,11001436,3
1101,805-314-9819,11015575,2
1102,633-876-8957,11028995,5
1103,323-849-2429,11033005,2
1104,660-650-3521,11042208,2
1105,636-553-4514,11052222,1
1106,369-473-8171,11060158,7
1107,171-722-1533,11076656,3
1108,979-524-8383,11089543,7
1109,940-437-3028,11094344,4
1110,364-864-4792,11109866,4
1111,590-505-6579,11110170,5
1112,999-836-2248,11124560,3
1113,960-813-3541,11139913,4
1114,146-269-2620,11143754,6
1115,740-202-1988,11159058,4
1116,611-865-9150,11162147,7
1117,849-118-3823,11175018,1
1118,553-535-1729,11181954,5
1119,203-360-1380,11195551,8
1120,354-806-5476,11202295,7
1121,870-578-6694,11215309,2
1122,223-978-2221,11229219,1
1123,952-643-3438,11236207,8
1124,653-249-8528,11245999,6
1125,181-291-6016,11259878,7
1126,152-584-6565,11268196,3
1127,653-436-6574,11272352,7
1128,187-931-9621,11281740,6
1129,747-393-1784,11299735,1
1130,246-323-8078,11306413,8
1131,270-136-3056,11316628,7
1132,523-640-4198,11325432,6
1133,955-194-9458,11337033,6
1134,419-423-1526,11343707,8
1135,898-535-4902,11354891,3
1136,234-478-1625,11366936,2
1137,816-774-3013,11376636,6
1138,531-471-1990,11389055,1
1139,518-583-7145,11393142,5
1140,188-881-9289,11403267,5
1141,608-823-7842,11417494,7
1142,531-802-9869,11420658,7
1143,413-678-2333,11433444,8
1144,597-610-5881,11441937,5
1145,464-183-9767,11457061,8
1146,772-683-3249,11468148,6
1147,169-288-6958,11471314,5
1148,996-365-8854,11480902,3
1149,788-377-5242,11491727,3
1150,449-658-2033,11503381,4
1151,440-239-1119,11512159,5
1152,753-847-9714,11529312,7
1153,711-543-8732,11539051,2
1154,746-426-2495,11540324,7
1155,263-341-7436,11552797,1
1156,814-663-1359,11566727,3
1157,982-188-6293,11576756,1
1158,190-981-9883,11583099,5
1159,663-685-6656,11599532,2
1160,593-556-2365,11604416,3
1161,792-462-7176,11612965,8
1162,133-905-7734,11627387,8
1163,522-290-5950,11632651,8
1164,269-516-8304,11648842,5
1165,898-631-7541,11653043,2
1166,709-348-2588,11663633,5
1167,262-872-8967,11676659,5
1168,360-416-8116,11688781,7
1169,481-946-9959,11695384,8
1170,169-290-6584,11706686,2
1171,530-838-7889,11716732,8
1172,740-597-9459,11721217,7
1173,214-692-3095,11738727,1
1174,246-371-7955,11748067,6
1175,420-952-4121,11758224,1
1176,925-705-2416,11766428,4
1177,558-152-8232,11775631,1
1178,838-966-3108,11786165,7
1179,748-667-4921,11790296,5
1180,603-913-7647,11805586,3
1181,482-407-3355,11810480,1
1182,321-837-2074,11822473,7
1183,501-462-3505,11831557,4
1184,703-646-1848,11849169,7
1185,835-859-9885,11851963,5
1186,335-729-9139,11865454,7
1187,587-451-9997,11872355,5
1188,963-306-4445,11882032,7
1189,942-580-8412,11894729,2
1190,691-348-4193,11902308,3
1191,201-878-4809,11910733,8
1192,158-193-4369,11928547,5
1193,854-184-6635,11930578,6
1194,344-935-1260,11944956,7
1195,609-925-9087,11959860,3
1196,125-524-8392,11961033,3
1197,849-725-9304,11972843,8
1198,836-376-1570,11988373,3
1199,461-564-2819,11997976,4
1200,844-797-2250,12003791,7
1201,912-531-6641,12016413,1
1202,816-844-1647,12023051,2
1203,971-706-1062,12031999,4
1204,539-999-2008,12043024,7
1205,903-736-6230,12052972,4
1206,922-707-3665,12061183,3
1207,836-402-7062,12075800,1
1208,578-260-2459,12083429,6
1209,803-539-2179,12099076,6
1210,182-369-7060,12105947,1
1211,344-695-6526,12110849,8
1212,701-383-7099,12123663,1
1213,473-379-4109,12134559,2
1214,362-557-9187,12141081,2
1215,873-719-1340,12157351,7
1216,965-954-2641,12166515,5
1217,821-730-7022,12178427,5
1218,300-688-3347,12188367,6
1219,733-730-3756,12196711,6
1220,458-718-8794,12208762,1
1221,449-648-8972,12217475,8
1222,310-304-1959,12224026,2
1223,382-630-4417,12238118,1
1224,205-580-3928,12249552,8
1225,913-884-5565,12256345,1
1226,155-459-3753,12268400,4
1227,761-576-9756,12275446,3
1228,461-497-7814,12280675,6
1229,834-656-7349,12292563,3
1230,527-598-9130,12303861,8
1231,313-795-8008,12311052,7
1232,960-605-4816,12321472,1
1233,909-501-2283,12337648,6
1234,289-344-6092,12347226,1
1235,947-932-5542,12350267,1
1236,998-855-6278,12360863,4
1237,535-531-3684,12378058,8
1238,545-173-5413,12385851,8
1239,744-351-4577,12395983,5
1240,418-393-4437,12407546,7
1241,445-500-4066,12410024,5
1242,691-749-8016,12424679,1
1243,916-173-5702,12433939,1
1244,562-731-5238,12445119,3
1245,230-688-5956,12454566,2
1246,609-277-7196,12460056,3
1247,828-422-9810,12475614,7
1248,852-362-1366,12480188,2
1249,658-700-7202,12498227,7
1250,656-371-2094,12500146,8
1251,375-646-2283,12515823,7
1252,132-941-9721,12524004,6
1253,576-858-5272,12539820,2
1254,230-583-8306,12544418,7
1255,746-641-2126,12551333,5
1256,958-197-6422,12560921,7
1257,610-461-1661,12579011,1
1258,518-759-1373,12581205,2
1259,951-793-4719,12594115,4
1260,447-206-4390,12605404,6
1261,555-761-4537,12610317,8
1262,810-761-7686,12620491,3
1263,659-541-2136,12633208,8
1264,186-680-6163,12648140,6
1265,782-358-2026,12658662,5
1266,629-159-9733,12669564,5
1267,644-383-8145,12672807,3
1268,150-983-3766,12689377,7
1269,885-426-1471,12697814,4
1270,548-210-6120,12700113,4
1271,956-493-1670,12714755,1
1272,768-403-2481,12726190,5
1273,515-960-6087,12738038,2
1274,611-410-3150,12749045,2
1275,485-856-2729,12759905,3
1276,219-796-2661,12768129,1
1277,974-140-6474,12778834,6
1278,238-153-9817,12786180,1
1279,862-421-5447,12797343,5
1280,602-276-4401,12809612,4
1281,527-720-4226,12819842,3
1282,372-410-7809,12828154,8
1283,177-966-3310,12834061,7
1284,835-305-4211,12842482,3
1285,700-937-5570,12854207,5
1286,979-145-3746,12867573,1
1287,609-816-2330,12878132,7
1288,515-764-2170,12889869,8
1289,365-329-8825,12899917,2
1290,907-938-6789,12900416,1
1291,671-953-3114,12913868,2
1292,261-259-4552,12927539,8
1293,712-215-5134,12932441,7
1294,195-926-6905,12942056,2
1295,952-570-7275,12952890,8
1296,619-730-5947,12962560,7
1297,754-125-1627,12971801,5
1298,574-537-5653,12985210,3
1299,237-572-8442,12992550,2
1300,441-993-6673,13005608,3
1301,835-884-6004,13013687,5
1302,155-996-8539,13022870,6
1303,306-875-5315,13032352,2
1304,370-458-2817,13049865,3
1305,388-128-5027,13055149,1
1306,687-887-6297,13064230,4
1307,270-245-3088,13071439,6
1308,285-994-9583,13087318,4
1309,295-494-2434,13091428,8
1310,487-301-1071,13102504,7
1311,454-692-8586,13114379,8
1312,289-534-3607,13121719,5
1313,982-972-4864,13136821,4
1314,246-444-6622,13147602,8
1315,592-353-2360,13154532,8
1316,355-116-4072,13167009,5
1317,259-912-3238,13179297,4
1318,292-962-5470,13181227,5
1319,874-405-9256,13194583,6
1320,960-677-7179,13203451,7
1321,168-117-3541,13219365,5
1322,601-560-2920,13229742,2
1323,871-894-1411,13237040,2
1324,164-910-7575,13241571,5
1325,553-719-9968,13259230,6
1326,669-539-3941,13263114,2
1327,876-607-4375,13277041,1
1328,489-640-4010,13282760,6
1329,590-849-3539,13293337,8
1330,822-899-3136,13301980,7
1331,517-901-8843,13310780,3
1332,864-540-8884,13320240,6
1333,279-382-8851,13332663,6
1334,892-568-6788,13340579,6
1335,833-980-2836,13352223,1
1336,879-397-8017,13366645,1
1337,542-542-9804,13374383,7
1338,267-259-9660,13387076,5
1339,128-909-7132,13391327,5
1340,139-976-2596,13407019,4
1341,901-167-5151,13413334,6
1342,301-876-6779,13428398,3
1343,167-900-2352,13431239,7
1344,770-988-3711,13442424,6
1345,837-535-4564,13459115,4
1346,827-657-2610,13466932,2
1347,829-656-6851,13471457,4
1348,858-673-7809,13487406,4
1349,543-876-5592,13497365,2
1350,569-940-2276,13506940,6
1351,550-219-5910,13514965,4
1352,660-128-2846,13521534,2
1353,612-973-1606,13531533,7
1354,880-284-5500,13548724,6
1355,218-932-1345,13554507,1
1356,886-696-2132,13568440,7
1357,933-970-4121,13570582,4
1358,435-343-4645,13586544,5
1359,670-156-5617,13594153,8
1360,295-771-7278,13601047,5
1361,787-237-3557,13618995,2
1362,693-364-2989,13626464,1
1363,113-378-9678,13631224,8
1364,527-652-4122,13645164,8
1365,628-172-5096,13657296,4
1366,111-828-4345,13667042,3
1367,923-697-8455,13671118,1
1368,429-232-6525,13682652,1
1369,726-159-4915,13697782,5
1370,717-892-6502,13706300,5
1371,193-919-9459,13719912,8
1372,133-137-3039,13728752,5
1373,953-317-8556,13731212,3
1374,475-238-3634,13744599,4
1375,691-914-2743,13756527,8
1376,129-752-4618,13764951,7
1377,285-946-9463,13778980,6
1378,264-558-8905,13781010,8
1379,819-290-7976,13799065,2
1380,320-167-5893,13806097,4
1381,234-351-3463,13815857,1
1382,821-489-2614,13824523,5
1383,311-828-2413,13830121,1
1384,428-247-8028,13842676,2
1385,968-286-3504,13853188,1
1386,946-592-9818,13868777,3
1387,264-289-3716,13878608,3
1388,236-660-7404,13888776,6
1389,625-188-8478,13892833,3
1390,466-268-7315,13907142,5
1391,342-228-1659,13911739,7
1392,880-473-4089,13920172,3
1393,474-370-6468,13933689,2
1394,653-636-9204,13949080,7
1395,781-471-9786,13952370,6
1396,639-387-5056,13965918,4
1397,388-292-5557,13975211,4
1398,910-697-1855,13987451,3
1399,332-291-2514,13993817,5
1400,881-253-2224,14006141,3
1401,358-771-3646,14013732,2
1402,985-157-5207,14025718,7
1403,733-463-2590,14036507,1
1404,112-559-4300,14040570,5
1405,259-469-7707,14051711,4
1406,692-243-8193,14060597,2
1407,226-592-7411,14074086,5
1408,572-738-8181,14086926,5
1409,588-388-4350,14095407,2
1410,147-203-4458,14102698,5
1411,560-448-6352,14119293,5
1412,779-556-6156,14121661,4
1413,584-315-4657,14133687,4
1414,975-492-4065,14149211,2
1415,763-283-4832,14153852,4
1416,941-473-3904,14161564,8
1417,676-132-8967,14172815,6
1418,284-708-4456,14181692,6
1419,812-779-6255,14194354,2
1420,653-182-7933,14209132,3
1421,765-754-3658,14210736,3
1422,309-415-5679,14226978,8
1423,174-581-5200,14239150,7
1424,887-118-2350,14242581,6
1425,486-194-8094,14254790,2
1426,748-187-2213,14263896,8
1427,952-235-7722,14270051,2
1428,426-175-1230,14284898,3
1429,788-296-2147,14294304,8
1430,636-705-1223,14300738,6
1431,295-285-1143,14314248,4
1432,417-490-6605,14329167,1
1433,522-281-4315,14331234,4
1434,281-911-9794,14347125,5
1435,488-923-4507,14357671,2
1436,913-128-3228,14369070,7
1437,511-432-7225,14377624,3
1438,324-629-1155,14385356,6
1439,566-634-2831,14393634,4
1440,421-120-3473,14403175,2
1441,600-214-4299,14411426,6
1442,231-356-1997,14425777,4
1443,922-113-5978,14435114,8
1444,304-272-9427,14445974,3
1445,908-208-5199,14454657,8
1446,365-556-7970,14466939,8
1447,495-235-8346,14470463,2
1448,470-555-6601,14481004,7
1449,734-987-7813,14492346,3
1450,506-372-3553,14503921,6
1451,119-639-7267,14512446,5
1452,979-829-5943,14520555,3
1453,658-625-1880,14535618,2
1454,669-855-2583,14547928,7
1455,909-830-9826,14557336,3
1456,551-451-5423,14565654,7
1457,248-348-8171,14578399,4
1458,162-577-9327,14589154,8
1459,567-621-6396,14591403,8
1460,692-970-8289,14607610,5
1461,923-803-3316,14611146,3
1462,344-759-3140,14627882,7
1463,441-800-9356,14639875,2
1464,327-397-4254,14649428,4
1465,402-979-2354,14657506,7
1466,456-763-7959,14667362,5
1467,691-245-7192,14670650,6
1468,311-361-9825,14686654,1
1469,874-242-4322,14697347,8
1470,240-391-7232,14703948,6
1471,178-888-5800,14718324,3
1472,135-714-6135,14729999,8
1473,745-567-3350,14739108,2
1474,288-755-6231,14740424,1
1475,982-747-9681,14759308,3
1476,194-986-6809,14764869,1
1477,385-402-5986,14777810,4
1478,966-816-5444,14786175,8
1479,943-842-6965,14797334,7
1480,601-260-4101,14807089,4
1481,374-505-8023,14816874,3
1482,135-928-5662,14820060,4
1483,141-878-8214,14837159,2
1484,664-772-4906,14848267,8
1485,591-290-1863,14850340,8
1486,970-470-7202,14860226,4
1487,413-562-3054,14878232,1
1488,878-128-3817,14886378,5
1489,790-954-7959,14895083,1
1490,284-807-3888,14908401,3
1491,224-231-2309,14910434,6
1492,883-216-9812,14928177,5
1493,970-900-5233,14930111,8
1494,381-517-2947,14944831,7
1495,977-579-4174,14954940,1
1496,855-791-7619,14967371,5
1497,845-557-8397,14977841,2
1498,838-997-1191,14982921,6
1499,653-176-5485,14998156,1
1500,135-601-2131,15002053,6
1501,137-740-9819,15013616,2
1502,858-938-5503,15020123,5
1503,763-551-7967,15033577,1
1504,864-553-6652,15043130,3
1505,301-220-1622,15057513,8
1506,795-957-6681,15068688,2
1507,743-943-2665,15070762,8
1508,122-980-8388,15082967,4
1509,390-512-4649,15092539,1
1510,828-279-4635,15103145,6
1511,385-731-9158,15118209,5
1512,806-587-5263,15129238,7
1513,317-241-3839,15133646,1
1514,260-227-1909,15143530,1
1515,474-572-1570,15150258,4
1516,266-333-2584,15169604,4
1517,254-918-1991,15175409,4
1518,473-829-9621,15180035,4
1519,221-701-3268,15194036,2
1520,965-982-2227,15208257,1
1521,719-965-2249,15216367,8
